x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
0.0,0.5,1.6538733848554728e-17,-8.269366924277363e-18,1.8490866573572542e-17,241.5031833223402,253.768470688321,38.639530234420505,-15.538840662271395
0.0,-0.5,-3.1819758020548295e-17,-4.704277971461584e-17,5.679366270777153e-17,241.9346907012246,-254.01677215335175,-37.91796729244622,-14.566195861554275
25.0,-0.5,-12.771342258599095,-479.7053769589682,479.8753545103479,0.019935331538565557,-0.0102655953640193,-0.00235872460700117,-0.008051370649981163
25.0,0.5,12.775046364028144,-479.70562789835486,479.87570395567843,0.1039002978563284,0.010218392662111653,-0.09736500059967287,-0.00806775146668424
0.0,0.25,-5.088841184170687e-18,1.7810944144597404e-17,1.8523661514929503e-17,127.2063906730449,133.21539484054696,29.95147526869254,-6.72549814901402
0.0,0.0,-1.020051825063949e-17,0.0,1.020051825063949e-17,62.266321478549564,-1.9272383111440674,-0.09539452266336715,-0.6288266486196135
0.0,-0.25,5.146843662096713e-18,-1.0293687324193426e-17,1.1508692298012208e-17,128.04727731392575,-134.57126481290285,-30.948375464082343,-6.8991593528978585
0.25,-0.5,-0.38835429843186475,-0.18025153796684282,0.4281467949779818,258.9114807492664,-260.04375290737863,-2.7179195044711983,-0.4539489776311628
0.5,-0.5,-0.744228085425966,-0.475090971067547,0.882942169072643,250.6268894976488,-248.91687075623847,2.8683338540620413,-1.4781887452510167
0.75,-0.5,-1.1116662222432157,-0.949979759951831,1.4622801831368164,247.88233426879333,-247.0344783883579,1.577290371744246,-1.7904921407754288
1.0,-0.5,-1.4641815277061705,-1.6041424602730203,2.171888712371505,239.7497554299182,-238.70190103164305,1.8853010399673804,-2.442267867679539
1.25,-0.5,-1.8084279493966309,-2.438596648767627,3.0359784688860363,248.8944466716918,-245.8019762871136,4.465193601565569,-7.312889832947279
1.5,-0.5,-2.1658216389486453,-3.446365859913665,4.070407966299772,241.60012466424595,-239.33325295485432,3.8483951925350013,0.33922043402393803
1.75,-0.5,-2.4911503228014817,-4.623088744145778,5.251550196564946,235.66226467375054,-233.24110074840058,3.7319154202939493,-5.03577782061685
2.0,-0.5,-2.8323048099875106,-5.965883535544865,6.60406820803387,233.99139079122907,-231.30497609279874,4.391841609413789,1.817832298145552
2.25,-0.5,-3.149423506933136,-7.471921120189938,8.10854325093993,219.91494956105007,-218.84026079612548,1.8893085646164085,-2.4829045289094744
2.5,-0.5,-3.4630249079904902,-9.133266211365584,9.767757838984073,211.71881012298525,-211.26109148584018,0.830254775248273,-1.3930741464438507
2.75,-0.5,-3.766713374439908,-10.952122360299219,11.581757804415988,206.3329711150839,-205.72793588970856,1.1101195172504195,-2.1904204103786795
3.0,-0.5,-4.063530492085723,-12.921529039891103,13.545412241377505,200.5612562868674,-199.88628154065213,1.1055605799119788,-2.4408098303251435
3.25,-0.5,-4.350517607074375,-15.041554877963808,15.658077040181563,208.81046202187423,-206.18591284167837,3.8348114921210437,-5.910578893672497
3.5,-0.5,-4.650424209759746,-17.303104385405288,17.91713890951765,202.60117482343037,-200.642479417933,3.3416319905836027,0.19365638769686955
3.75,-0.5,-4.923006090599256,-19.70711391791503,20.31271345590632,197.15976067311365,-194.9808794016305,3.364984639559898,-4.584909650163353
4.0,-0.5,-5.2079106991572255,-22.25172951191782,22.85304793943142,193.7650008831726,-192.1994336799507,2.5242408802339282,2.185211175303791
4.25,-0.5,-5.4716796854749745,-24.930217333189304,25.52361680601893,182.1569310908525,-181.18463535091337,1.7794386844423389,-0.8927042487109665
4.5,-0.5,-5.732182481259107,-27.74011655689409,28.32617133656653,175.85042011299947,-175.29737709641662,1.0365183097164772,-1.3915758629109625
4.75,-0.5,-5.984711276593664,-30.6792951895598,31.2575738404684,171.38848479137977,-170.97017458259708,0.7550862451743365,-1.9014116111735593
5.0,-0.5,-6.231991664490301,-33.744122102971396,34.314770822584826,167.98968997834578,-167.56406319670612,0.7204511861590581,-2.3699981134893653
5.25,-0.5,-6.473860736109124,-36.931401979402246,37.494523933432355,164.9519822735194,-164.5096158489129,0.7442018293624304,-2.3368796683120627
5.5,-0.5,-6.712297405531022,-40.24058582494466,40.796564610209956,163.78071188733014,-163.2709694440453,0.8969651187102742,-2.0987426172984534
5.75,-0.5,-6.944985272832957,-43.66294551789106,44.21182683104362,156.2186948553905,-155.90098408240118,0.5661237339846897,-1.4706688748194257
6.0,-0.5,-7.167808811501155,-47.200805134924735,47.74194684492214,151.22401044000588,-150.85687279893503,0.6636758143659803,-1.6581666552844951
6.25,-0.5,-7.386037418066993,-50.84958479261585,51.38320564467066,147.56212348869983,-147.2641213502081,0.49736114056776587,-1.9728209850007672
6.5,-0.5,-7.5981496472803896,-54.60562455936571,55.13171602245726,143.75833617162505,-143.46184123019563,0.5052003975049896,-1.8844188337909276
6.75,-0.5,-7.805284405991355,-58.46627468813826,58.9849789401272,139.72748089094296,-139.4263833010439,0.4815719274311184,-2.147966018666872
7.0,-0.5,-8.005751608126145,-62.428799746804955,62.940027777541445,135.74144082441586,-135.43352147942318,0.5070397048907834,-2.0687173536133345
7.25,-0.5,-8.200780071679537,-66.4897220725624,66.99355144393115,132.53320268601428,-132.18137902024228,0.5084845548511197,-2.386018092055908
7.5,-0.5,-8.39284091192522,-70.65039061425166,71.14715365015824,131.65235323422903,-131.26324014054686,0.67884024636043,-1.7453070054752
7.75,-0.5,-8.57912418432496,-74.90079424641749,75.39051896965717,125.37773318273311,-125.09061649651278,0.49446742329444526,-1.4712670233267426
8.0,-0.5,-8.757957493995278,-79.243737353971,79.72622987004821,121.04016885988224,-120.6686270966919,0.6628737935357821,-1.594346793171989
8.25,-0.5,-8.931248925367306,-83.67474440387689,84.15004491039207,117.7899270941451,-117.47494831319328,0.48725913439758733,-2.0230638785539896
8.5,-0.5,-9.101911856223662,-88.19387589189424,88.6623062201368,115.1419123600643,-114.80412033461174,0.5986433854715275,-1.4985034747531292
8.75,-0.5,-9.265213683218347,-92.79602091722299,93.2574162341279,111.93220594893448,-111.60345210855203,0.4962659268240689,-2.0432984497339914
9.0,-0.5,-9.424739948407199,-97.47571038112734,97.93028049281038,106.37741730120779,-105.99236874259148,0.6189236520312399,-1.5260556980124032
9.25,-0.5,-9.575224734083628,-102.236525740385,102.68394287410574,109.08757522012068,-107.6655393632556,2.0261140338433905,-3.429078272298295
9.5,-0.5,-9.731418975268,-107.07161743994682,107.51293771671635,105.16931595533785,-104.14651961876905,1.752169497332284,-0.2690430874092881
9.75,-0.5,-9.872268811121089,-111.98054571518269,112.41487584011804,101.3770668832857,-100.27343811648146,1.6345815276093363,-2.686486434425771
10.0,-0.5,-10.018247407521251,-116.96145722708111,117.38972594652664,99.61629228917342,-98.49946932055906,1.8523338479390707,0.2549975701205253
10.25,-0.5,-10.152337370373946,-122.01147216442723,122.43312171880898,92.46241197398938,-91.95950156231169,0.8535599927888806,-1.5995373012319076
10.5,-0.5,-10.283309072813521,-127.1269105104279,127.54214135497864,87.9387917789541,-87.765927215771,0.27398146001046847,-1.126077125961936
10.75,-0.5,-10.40882199444198,-132.30783615500584,132.7166420737499,84.83811765545776,-84.59457099588403,0.40520629113953394,-1.3676139949860717
